disaster_id,name_local,name_international,type,subtype,date_start,date_year,date_month,date_end,affected_families,affected_persons,dead,injured,missing,damaged_houses_full,damaged_houses_partial,damaged_properties_agri,damaged_properties_infra,damaged_properties_private,total_damage
TropicalCyclone_2014-03-21_TyphoonCaloy,Typhoon Caloy,Tropical Depression 04W,Tropical Cyclone,Typhoon,2014-03-21,2014,3,2014-03-22,"3,891","19,329",,,,,,,,,
TropicalCyclone_2014-07-13_TyphoonGlenda,Typhoon Glenda,Typhoon Rammasun,Tropical Cyclone,Typhoon,2014-07-13,2014,7,2014-07-17,"1,028,319","4,673,967",106,"1,257",5,"112,067","521,613","33,849.19","4,520.01",247.41,"38,616.61"
TropicalCyclone_2014-07-18_TyphoonHenry,Typhoon Henry,Typhoon Matmo,Tropical Cyclone,Typhoon,2014-07-18,2014,7,2014-07-23,214,831,,15,,47,266,,,,
TropicalCyclone_2014-08-02_TyphoonJose,Typhoon Jose,Typhoon Halong,Tropical Cyclone,Typhoon,2014-08-02,2014,8,2014-08-07,"4,355","15,769",2,,,,,1.62,,,1.62
TropicalCyclone_2014-09-12_TyphoonLuis,Typhoon Luis,Typhoon Kalmaegi,Tropical Cyclone,Typhoon,2014-09-12,2014,9,2014-09-15,"116,733","508,367",5,2,0,194,"2,145","1,111.42",84.69,,"1,196.11"
TropicalCyclone_2014-09-17_TyphoonMario,Typhoon Mario,Typhoon Fung-Wong,Tropical Cyclone,Typhoon,2014-09-17,2014,9,2014-09-21,"453,190","2,052,141",18,16,4,"2,256","9,335",3.11,646.02,,"3,751.69"
TropicalCyclone_2014-11-26_TyphoonQueenie,Typhoon Queenie,Typhoon Sinlaku,Tropical Cyclone,Typhoon,2014-11-26,2014,11,2014-11-28,"13,182","65,239",4,2,8,343,"3,399",,,,
TropicalCyclone_2014-12-03_TyphoonRuby,Typhoon Ruby,Typhoon Hagupit,Tropical Cyclone,Typhoon,2014-12-03,2014,12,2014-12-10,"992,729","4,363,677",24,"1,913",,"42,634","249,433","3,635.82","2,048.48",,"5,684.30"
TropicalCyclone_2014-12-28_TyphoonSeniang,Typhoon Seniang,Tropical Storm Jangmi,Tropical Cyclone,Typhoon,2014-12-28,2014,12,2014-12-31,"129,375","602,627",66,43,6,654,"2,869",719.21,552.38,,"1,271.59"
TropicalCyclone_2015-01-15_TyphoonAmang,Typhoon Amang,Typhoon Mekkhala,Tropical Cyclone,Typhoon,2015-01-15,2015,1,2015-01-19,"25,201","106,808",2,0,0,49,491,507.45,829.82,,"1,337.26"
TropicalCyclone_2015-04-01_TyphoonChedeng,Typhoon Chedeng,Typhoon Maysak,Tropical Cyclone,Typhoon,2015-04-01,2015,4,2015-04-05,708,"2,761",,,,,,,,,
TropicalCyclone_2015-05-07_TyphoonDodong,Typhoon Dodong,Typhoon Noul,Tropical Cyclone,Typhoon,2015-05-07,2015,5,2015-05-12,"1,279","4,523",2,,,,,12.50,3.80,,16.30
TropicalCyclone_2015-07-02_TyphoonEgay,Typhoon Egay,Typhoon Linfa,Tropical Cyclone,Typhoon,2015-07-02,2015,7,2015-07-07,"13,280","55,567",,,,7,198,147.69,66.97,,214.65
TropicalCyclone_2015-08-05_TyphoonHanna,Typhoon Hanna,Typhoon Soudelor,Tropical Cyclone,Typhoon,2015-08-05,2015,8,2015-08-08,"11,880","58,255",,,,20,,0.36,,,0.36
TropicalCyclone_2015-08-18_TyphoonIneng,Typhoon Ineng,Typhoon Goni,Tropical Cyclone,Typhoon,2015-08-18,2015,8,2015-08-23,"87,704","387,999",33,24,7,188,"5,554","2,183.35","2,333.56",29.71,"4,546.62"
TropicalCyclone_2015-09-23_TyphoonJenny,Typhoon Jenny,Typhoon Dujuan,Tropical Cyclone,Typhoon,2015-09-23,2015,9,2015-09-29,"2,561","12,781",13,,,,,,,,
TropicalCyclone_2015-10-01_TyphoonKabayan,Typhoon Kabayan,Typhoon Mujigae,Tropical Cyclone,Typhoon,2015-10-01,2015,10,2015-10-03,"12,281","59,568",1,3,12,97,606,6.26,40.60,,46.86
TropicalCyclone_2015-10_TyphoonLando,Typhoon Lando,Typhoon Lando Koppu,Tropical Cyclone,Typhoon,,,,,"733,152","3,126,130",58,87,4,"18,795","118,885","10,910.42","3,482.03",,"14,392.45"
TropicalCyclone_2015-12-12_TyphoonNona,Typhoon Nona,Typhoon Melor,Tropical Cyclone,Typhoon,2015-12-12,2015,12,2015-12-13,"303,507","1,349,532",51,28,4,"110,539","208,145","5,623.77","1,413.28",,"7,037.05"
TropicalCyclone_2015-12-16_TyphoonOnyok,Typhoon Onyok,Tropical Depression 29W ,Tropical Cyclone,Typhoon,2015-12-16,2015,12,2015-12-18,"2,721","11,756",,,,5,3,,,"1,100,000.00","1,100,000.00"
TropicalCyclone_2016-07-05_TyphoonButchoy,Typhoon Butchoy,Typhoon Nepartak,Tropical Cyclone,Typhoon,2016-07-05,2016,7,2016-07-08,"8,130","33,800",2,2,,0,9,0.41,,,0.41
TropicalCyclone_2016-07-29_TyphoonCarina,Typhoon Carina,Typhoon Nida,Tropical Cyclone,Typhoon,2016-07-29,2016,7,2016-08-01,"1,976","8,809",,,,3,43,134.41,27.95,,165.36
TropicalCyclone_2016-09-11_TyphoonFerdie,Typhoon Ferdie,Typhoon Meranti,Tropical Cyclone,Typhoon,2016-09-11,2016,9,2016-09-14,"4,588","16,648",,,,444,"2,570",138.58,222.81,,361.39
TropicalCyclone_2016-09-24_TyphoonHelen,Typhoon Helen,Typhoon Helen Megi,Tropical Cyclone,Typhoon,2016-09-24,2016,9,2016-09-28,532,"2,555",,,,,,1.32,,,1.32
TropicalCyclone_2016-10-13_TyphoonKaren,Typhoon Karen,Typhoon Sarika,Tropical Cyclone,Typhoon,2016-10-13,2016,10,2016-10-17,"70,169","318,378",,,,,,"3,797.38",267.12,,"4,064.50"
TropicalCyclone_2016-10-17_TyphoonLawin,Typhoon Lawin,Typhoon Haima,Tropical Cyclone,Typhoon,2016-10-17,2016,10,2016-10-20,"541,805","2,424,300",23,120,,"45,053","229,931","7,620.41","8,639.50",,"16,259.91"
TropicalCyclone_2016-11-23_TyphoonMarce,Typhoon Marce,Typhoon Marce Tokage,Tropical Cyclone,Typhoon,2016-11-23,2016,11,2016-11-28,"18,288","76,824",3,,2,9,101,257.28,29.94,,287.22
TropicalCyclone_2016-12-23_TyphoonNina,Typhoon Nina,Typhoon Nock-Ten,Tropical Cyclone,Typhoon,2016-12-23,2016,12,2016-12-27,"644,400","2,883,422",16,,21,"98,973","294,433","8,595.29","3,668.24",,"3,668.24"
TropicalCyclone_2017-01-07_TyphoonAuring,Typhoon Auring,Tropical Depression 01W,Tropical Cyclone,Typhoon,2017-01-07,2017,1,2017-01-09,"9,111","38,882",,,,,,38.64,,,38.64
TropicalCyclone_2017-02-03_TyphoonBising,Typhoon Bising,Tropical Depression Bising,Tropical Cyclone,Typhoon,2017-02-03,2017,2,2017-02-06,"8,130","33,800",2,2,0,,9,0.41,,,0.41
TropicalCyclone_2017-04-14_TyphoonCrising,Typhoon Crising,Tropical Depression 02W,Tropical Cyclone,Typhoon,2017-04-14,2017,4,2017-04-15,113,427,10,19,,,,,,,
TropicalCyclone_2017-07-25_TyphoonGorio,Typhoon Gorio,Typhoon Nesat,Tropical Cyclone,Typhoon,2017-07-25,2017,7,2017-07-30,"1,656","7,339",,,,52,114,8.82,,,8.82
TropicalCyclone_2017-08-24_TyphoonJolina,Typhoon Jolina,Severe Tropical Storm Pakhar,Tropical Cyclone,Typhoon,2017-08-24,2017,8,2017-08-26,929,"3,397",,,,,,,,,
TropicalCyclone_2017-09-11_TyphoonLannieandMaring,Typhoon Lannie and Maring,Typhoon Talim and Typhoon Doksuri,Tropical Cyclone,Typhoon,2017-09-11,2017,9,2017-09-13,"9,432","40,966",25,,4,329,"1,493",219.45,47.59,,267.04
TropicalCyclone_2017-10-11_TyphoonOdette,Typhoon Odette,Typhoon Khanun,Tropical Cyclone,Typhoon,2017-10-11,2017,10,2017-10-14,961,"4,721",1,,,2,,4.45,,,4.45
TropicalCyclone_2017-10-16_TyphoonPaolo,Typhoon Paolo,Typhoon Lan,Tropical Cyclone,Typhoon,2017-10-16,2017,10,2017-10-22,"29,587","145,017",,,,532,579,,,,
TropicalCyclone_2017-11-01_TyphoonRamil,Typhoon Ramil,Typhoon Damrey,Tropical Cyclone,Typhoon,2017-11-01,2017,11,2017-11-03,78,305,,,,,,,,,
TropicalCyclone_2017-11-09_TyphoonSalome,Typhoon Salome,Tropical Storm Haikui,Tropical Cyclone,Typhoon,2017-11-09,2017,11,2017-11-11,"1,303","5,673",,,,44,102,257.75,19.53,,277.28
TropicalCyclone_2017-11-17_TyphoonTino,Typhoon Tino,Tropical Storm Kirogi,Tropical Cyclone,Typhoon,2017-11-17,2017,11,2017-11-18,497,,,,,1,2,,,,
TropicalCyclone_2017-12-12_TyphoonUrduja,Typhoon Urduja,Tropical Storm Kai-tak,Tropical Cyclone,Typhoon,2017-12-12,2017,12,2017-12-19,"435,220","1,852,900",47,78,44,"2,748","32,538",1.91,1.74,,3.65
TropicalCyclone_2017-12-20_TyphoonVinta,Typhoon Vinta,Typhoon Tembin,Tropical Cyclone,Typhoon,2017-12-20,2017,12,2017-12-24,"167,963","797,337",165,18,176,"4,179","5,182","1,857.39",242.70,,2.10
